radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,7,20201,62134,,13.377688,52.511706,157502,5111,1,1301751016,1472143590,-63
GSM,262,7,20201,2006,,13.403081,52.514643,115180,8796,1,1301751016,1472143838,-54
GSM,262,7,20201,33210,,13.401499,52.520515,112659,1754,1,1301751016,1472144085,-59
GSM,262,7,20201,2004,,13.374661,52.512479,157457,3568,1,1301752758,1472143590,-64
GSM,262,3,20453,14653,,13.372,52.51485,157576,3304,1,1301752758,1472143590,-60
GSM,262,7,20202,22014,,13.374352,52.526284,152147,9286,1,1301755291,1472143714,-61
GSM,262,7,20201,22004,,13.382576,52.512021,179795,4092,1,1301755706,1472143714,-60
GSM,262,7,20201,22482,,13.382778,52.512183,157742,3359,1,1301756306,1472143714,-63
GSM,262,7,20205,22472,,13.299598,52.499051,147676,14686,1,1301759018,1472142719,-58
GSM,262,2,308,28731,,13.36328,52.498908,150879,25417,1,1301761406,1472143464,-51
GSM,262,7,20205,22480,,13.313576,52.515378,147933,4898,1,1301840329,1472142467,-69
GSM,262,7,20205,22237,,13.338086,52.532854,188534,20865,1,1301900363,1472140854,-51
GSM,262,7,20205,2553,,13.304964,52.510289,100674,11391,1,1301900363,1472143835,-69
GSM,262,7,20205,22221,,13.315181,52.526227,148576,7169,1,1301900848,1472142117,-59
GSM,262,7,20205,42204,,13.315671,52.509557,125092,10783,1,1302591769,1472143961,-52
GSM,262,7,20205,25048,,13.317741,52.511134,125298,8355,1,1302591769,1472143093,-61
GSM,262,7,20205,27226,,13.309192,52.513797,147589,5364,1,1302591769,1472143835,-71
GSM,262,7,20205,22417,,13.29967,52.519833,185665,22381,1,1302591769,1472144206,-54
GSM,262,3,20453,41553,,13.314978,52.512279,125213,11413,1,1302591769,1472143961,-54
GSM,262,3,20453,41583,,13.305078,52.51272,148691,16349,1,1302591769,1472142719,-63
GSM,262,7,20205,22204,,13.327732,52.510082,125812,4926,1,1302591769,1472143961,-69
GSM,262,7,20205,22226,,13.309726,52.512274,155671,8901,1,1302591769,1472143835,-65
GSM,262,7,20202,53064,,13.328405,52.527015,187612,4958,1,1302591769,1472142095,-71
GSM,262,7,20205,7472,,13.293731,52.507131,133306,6748,1,1302591769,1472142719,-63
GSM,262,7,20205,13104,,13.316159,52.509759,147805,5738,1,1302591769,1472143961,-64
GSM,262,3,20453,39033,,13.310419,52.5089,124753,6418,1,1302591769,1472143961,-55
GSM,262,3,20453,57923,,13.311962,52.526493,169224,4077,1,1302591769,1472143093,-66
GSM,262,7,20205,42237,,13.312822,52.531085,142684,18809,1,1302591769,1472142343,-58
GSM,262,1,14118,49098,,13.231064,52.529226,80198,9016,1,1302797666,1472144293,-51
GSM,262,1,14118,19366,,13.233117,52.527363,78512,3110,1,1302797787,1472144293,-51
GSM,262,2,323,12063,,13.247885,52.666619,102088,29415,1,1302798998,1472141722,-66
GSM,262,7,20210,22246,,13.19539,52.535611,162153,9868,1,1302799845,1472142097,-66
GSM,262,7,20210,22249,,13.198079,52.518726,100478,18358,1,1302799845,1472142097,-57
GSM,262,2,323,15763,,13.184105,52.526238,101688,12659,1,1302799845,1472141849,-63
GSM,262,7,20210,2296,,13.205568,52.515267,99857,4152,1,1302799966,1472141600,-82
GSM,262,2,323,92,,13.143975,52.480743,132914,12859,1,1302799966,1472141600,-69
GSM,262,7,20202,22164,,13.360465,52.545684,179402,8031,1,1302803071,1472141476,-62
GSM,262,1,14119,55984,,13.37155,52.551455,140576,6602,1,1302803071,1472141476,-51
GSM,262,7,20201,62133,,13.374226,52.519114,113370,4222,1,1302803521,1472143590,-64
GSM,262,7,20205,22224,,13.302776,52.533338,135540,12325,1,1302816034,1472140854,-56
GSM,262,7,20205,7226,,13.300639,52.525937,119379,6608,1,1302816034,1472142343,-58
GSM,262,2,301,2042,,13.112474,52.706216,86579,40908,1,1302841842,1472142716,-59
GSM,262,2,301,2750,,13.121168,52.660944,103712,11088,1,1302841842,1472141847,-66
GSM,262,7,20210,33081,,13.255139,52.551461,134059,13107,1,1302845231,1472144293,-67
GSM,262,2,323,33732,,13.265567,52.534382,58238,82528,1,1302845836,1472142342,-56
GSM,262,2,321,10523,,13.275244,52.533037,90404,69523,1,1302845958,1472142342,-53
GSM,262,2,323,33722,,13.272167,52.532234,97856,102974,1,1302845958,1472142342,-57
GSM,262,7,20205,42233,,13.245385,52.533348,160030,27031,1,1302846805,1472144293,-59
GSM,262,2,323,472,,13.186233,52.513806,100979,21641,1,1302846805,1472142097,-53
GSM,262,7,20205,53338,,13.323358,52.524735,96797,5161,1,1302847531,1472141892,-58
GSM,262,2,323,53,,13.332088,52.535935,140435,53693,1,1302847531,1472141103,-51
GSM,262,2,321,15142,,13.303948,52.534699,187033,78730,1,1302847531,1472140854,-59
GSM,262,2,321,14401,,13.327691,52.534335,157080,51885,1,1302847531,1472141103,-61
GSM,262,7,20253,22719,,12.895976,52.467663,94606,2990,1,1302849227,1472141600,-64
GSM,262,2,309,2791,,12.969495,52.484176,59139,31902,1,1302849227,1472144330,-65
GSM,262,7,20211,42410,,12.886173,52.460274,92349,2255,1,1302856247,1472142968,-80
GSM,262,7,20205,2208,,13.287788,52.508278,142703,17816,1,1302874522,1472142719,-51
GSM,262,7,20202,42164,,13.345668,52.546609,138787,9934,1,1302882391,1472141724,-51
GSM,262,7,20205,2233,,13.267568,52.523633,158297,9116,1,1302882633,1472144293,-55
GSM,262,2,317,11943,,13.502768,52.538877,79248,16478,1,1302886144,1472142594,-52
GSM,262,2,317,11401,,13.488812,52.526734,130185,15715,1,1302886144,1472142594,-53
GSM,262,2,317,11952,,13.58425,52.5501,70745,25848,0,1302887113,1472143341,-51
GSM,262,2,317,37172,,13.57217,52.55373,59324,9969,0,1302887113,1472143216,-63
GSM,262,2,323,54531,,13.221943,52.531972,127274,34661,1,1302890987,1472142097,-52
GSM,262,2,323,15381,,13.206561,52.51947,92892,10177,1,1302890987,1472142097,-51
GSM,262,7,20210,13029,,13.240601,52.535694,52673,15788,1,1302944360,1472144293,-54
GSM,262,2,323,10802,,13.232007,52.547209,94871,39570,1,1302944360,1472144293,-64
GSM,262,1,14118,49096,,13.24614,52.537157,146310,10429,1,1302944360,1472144293,-55
GSM,262,1,14118,53855,,13.226492,52.534427,111689,2557,1,1302944360,1472144293,-51
GSM,262,2,323,692,,13.235943,52.526943,144314,24009,1,1302944360,1472144293,-58
GSM,262,7,20205,42483,,13.25325,52.53933,93966,10748,1,1302944360,1472144293,-65
GSM,262,7,20210,33029,,13.218943,52.534055,148336,13229,1,1302944360,1472141600,-60
GSM,262,2,323,28711,,13.249477,52.532242,121905,42812,1,1302944360,1472141100,-56
GSM,262,7,20210,22242,,13.228239,52.526156,154597,22719,1,1302944360,1472144293,-67
GSM,262,2,323,33733,,13.249544,52.535699,65952,58645,1,1302944360,1472144293,-56
GSM,262,1,14118,49097,,13.250268,52.528947,159440,8602,1,1302944360,1472144293,-51
GSM,262,1,14118,40930,,13.22083,52.530643,160718,4602,1,1302946176,1472144293,-52
GSM,262,7,20210,2247,,13.229315,52.516629,172197,9590,1,1302946176,1472142097,-52
GSM,262,2,323,371,,13.263656,52.526473,94240,20931,1,1302950412,1472141100,-60
GSM,262,2,323,473,,13.161368,52.519172,102758,11553,1,1302970502,1472141849,-65
GSM,262,2,323,28413,,13.182267,52.516119,80198,17001,1,1302970502,1472141849,-51
GSM,262,7,20210,42248,,13.181998,52.510336,101082,9867,1,1302970502,1472141849,-63
GSM,262,1,14118,33201,,13.200326,52.506146,114467,1576,1,1302970502,1472142097,-80
GSM,262,1,14118,39563,,13.198663,52.528291,95320,4217,1,1303112846,1472142097,-51
GSM,262,7,20205,2226,,13.298167,52.528147,142099,11022,1,1303191876,1472142467,-52
GSM,262,2,321,701,,13.286815,52.524241,148168,61842,1,1303191876,1472140976,-51
GSM,262,7,20205,33330,,13.301482,52.516256,120125,7346,1,1303191876,1472143093,-54
GSM,262,2,321,33932,,13.276927,52.531608,95482,103579,1,1303228523,1472144293,-51
GSM,262,2,323,33721,,13.26745,52.534575,55596,112742,1,1303228523,1472142342,-54
GSM,262,1,14119,14184,,13.307918,52.562478,126420,4570,1,1303228523,1472144293,-51
GSM,262,7,20227,42187,,13.340445,52.572448,127565,5595,1,1303228670,1472141622,-59
GSM,262,2,321,36933,,13.322235,52.536797,91410,50076,1,1303230365,1472140854,-51
GSM,262,2,323,33723,,13.262986,52.534338,69133,137209,1,1303277563,1472142196,-53
GSM,262,1,14116,28723,,13.452531,52.557195,83733,4041,1,1303310122,1472143093,-51
GSM,262,2,318,11993,,13.427753,52.551002,158107,35800,1,1303312098,1472141474,-51
GSM,262,1,14116,404,,13.486689,52.541565,112228,4840,1,1303312098,1472142594,-52
GSM,262,2,318,14471,,13.429102,52.547608,60938,32312,1,1303312098,1472140976,-56
GSM,262,2,318,11992,,13.436417,52.550069,52927,35368,1,1303312098,1472140976,-57
GSM,262,3,20493,40973,,13.48629,52.558846,71569,16174,1,1303312098,1472143590,-55
GSM,262,7,20224,42140,,13.480455,52.560406,71139,7793,1,1303312098,1472143590,-57
GSM,262,2,318,11852,,13.429767,52.548344,157976,27256,1,1303312098,1472141474,-58
GSM,262,2,318,41113,,13.435914,52.548464,53062,21287,1,1303312784,1472140976,-52
GSM,262,2,318,11851,,13.421769,52.556752,80459,31453,1,1303313874,1472141284,-61
GSM,262,7,20224,2178,,13.42868,52.575082,173985,13617,1,1303313874,1472143714,-55
GSM,262,2,318,29792,,13.426343,52.557309,152904,16566,1,1303313874,1472141474,-55
GSM,262,7,20224,2123,,13.440017,52.570538,88910,9858,1,1303313874,1472143714,-61
GSM,262,1,14119,18530,,13.428891,52.580261,72119,5301,1,1303313874,1472144208,-51
GSM,262,2,301,17222,,12.854468,52.750976,112581,40332,1,1303317080,1472141723,-51
GSM,262,2,301,2913,,12.93047,52.73442,157980,58922,1,1303317080,1472142468,-63
GSM,262,7,20262,47405,,12.993745,52.698953,135023,3749,1,1303317080,1472143535,-60
GSM,262,3,473,12843,,12.910384,52.7413,152982,2912,1,1303317080,1472143531,-73
GSM,262,2,301,5901,,12.933612,52.686664,125934,172959,1,1303318838,1472144330,-70
GSM,262,2,301,17402,,12.54542,53.04804,137889,25705,1,1303320171,1472141599,-58
GSM,262,2,301,17403,,12.518026,53.07113,136120,21669,1,1303320171,1472141971,-51
GSM,262,1,5169,2111,,12.424739,53.133791,142433,7886,1,1303320171,1472144208,-51
GSM,262,2,301,5710,,12.525577,53.117659,125697,8255,1,1303320171,1472141599,-82
GSM,262,2,301,9220,,12.55351,53.03835,126868,36660,1,1303320171,1472143466,-57
GSM,262,1,5169,21599,,12.405979,53.131535,117341,5913,1,1303320171,1472143343,-82
GSM,262,2,323,33731,,13.257169,52.538932,34924,87065,1,1303363983,1472144293,-52
GSM,262,2,321,712,,13.314721,52.532444,136182,84856,1,1303365556,1472140854,-52
GSM,262,7,20205,22232,,13.293126,52.513536,154478,17479,1,1303365556,1472142719,-56
GSM,262,7,20205,13338,,13.329326,52.531409,86078,5555,1,1303365556,1472142095,-58
GSM,262,1,5986,55602,,9.674283,53.571936,103480,1814,1,1303372092,1472143528,-72
GSM,262,7,20205,33338,,13.336934,52.52588,155951,6268,1,1303392789,1472142095,-56
GSM,262,2,404,2092,,9.475622,53.583876,139340,28887,1,1303397026,1472142852,-63
GSM,262,3,32,51172,,10.508219,52.24439,95443,34121,1,1303419905,1472142843,-51
GSM,262,3,32,41772,,10.514649,52.256509,110478,6430,1,1303419905,1472142792,-66
GSM,262,3,32,51722,,10.50798,52.241901,109658,37415,1,1303420147,1472142792,-58
GSM,262,7,10224,4874,,10.114496,51.872632,120081,4268,0,1303422930,1472143534,-63
GSM,262,7,10224,24576,,10.16657,51.904214,112651,4789,0,1303423051,1472143534,-66
GSM,262,7,10224,57577,,10.179799,51.887814,71568,1550,0,1303423051,1472143534,-70
GSM,262,7,10224,44874,,10.122234,51.908122,117474,1026,1,1303423051,1472143093,-79
GSM,262,3,432,18492,,10.12933,51.881586,120523,75923,1,1303423536,1472143531,-64
GSM,262,2,318,14532,,13.418951,52.526582,149647,18647,1,1303471098,1472144332,-51
GSM,262,2,318,14533,,13.412041,52.527422,155786,12431,1,1303471098,1472143529,-57
GSM,262,7,20201,33152,,13.410705,52.527398,57200,1553,1,1303471098,1472144085,-69
GSM,262,2,318,36172,,13.407134,52.528546,113508,10634,1,1303471098,1472143712,-56
GSM,262,2,317,1521,,13.423464,52.522498,58955,13899,1,1303471340,1472142219,-57
GSM,262,2,318,15212,,13.428377,52.52424,30478,3605,1,1303471340,1472144332,-71
GSM,262,2,318,15213,,13.420899,52.525035,155644,9109,1,1303473156,1472141794,-51
GSM,262,7,20201,42004,,13.372511,52.510782,157223,4360,1,1303473277,1472143590,-63
GSM,262,3,20453,14663,,13.372339,52.513894,110901,4431,1,1303473277,1472143590,-58
GSM,262,3,20453,14673,,13.369007,52.515161,113400,4054,1,1303473277,1472143590,-65
GSM,262,1,14658,36850,,9.903147,51.516722,74734,1260,1,1303478724,1472142095,-72
GSM,262,2,563,2111,,9.894439,51.635931,180998,56479,1,1303478724,1472141166,-57
GSM,262,1,14658,53686,,9.884891,51.441455,95573,1755,1,1303479934,1472142095,-72
GSM,262,2,301,33252,,12.985237,52.550105,114945,22924,1,1303482718,1472143341,-61
GSM,262,7,10217,4600,,9.889155,51.511793,18411,1207,0,1303490948,1472143534,-74
GSM,262,2,317,41551,,13.501244,52.545409,78753,9896,1,1303546105,1472142594,-51
GSM,262,1,14116,1048,,13.493298,52.545199,84443,5127,1,1303546105,1472143093,-54
GSM,262,7,20226,2145,,13.506253,52.538237,112987,26917,1,1303546105,1472143959,-51
GSM,262,7,20226,42147,,13.541525,52.549453,138548,29345,1,1303546105,1472143342,-53
GSM,262,2,317,1403,,13.511566,52.545208,112977,11503,1,1303546105,1472142594,-55
GSM,262,7,20210,42242,,13.199502,52.528672,161362,26562,1,1303563566,1472142097,-56
GSM,262,2,301,9513,,12.740221,52.909057,126300,64795,1,1303583660,1472141101,-53
GSM,262,2,380,4540,,11.214078,52.202154,188699,96610,1,1303590922,1472141337,-65
GSM,262,3,20493,25223,,13.407263,52.649102,133473,34593,1,1303635559,1472140854,-52
GSM,262,3,473,12853,,13.391504,52.661285,85870,22019,1,1303635559,1472140854,-75
GSM,262,7,20222,42386,,13.408495,52.653138,85701,10855,1,1303663180,1472143466,-51
GSM,262,7,20227,2192,,13.407365,52.602071,92683,9491,1,1303664633,1472144332,-58
GSM,262,1,14118,64023,,13.211655,52.520467,160143,3114,1,1303724296,1472142097,-55
GSM,262,2,321,14101,,13.268546,52.508697,61601,14967,1,1303724659,1472142345,-51
GSM,262,2,305,11123,,13.431912,52.608434,193882,103915,1,1303738792,1472143216,-51
GSM,262,1,14112,45951,,13.43721,52.59872,90806,5911,1,1303738792,1472144332,-51
GSM,262,7,20222,22439,,13.448452,52.598727,90182,8923,1,1303738792,1472143714,-62
GSM,262,3,20493,15903,,13.430127,52.60207,91412,9127,1,1303738792,1472144208,-54
GSM,262,2,318,11391,,13.442469,52.605086,94875,92298,1,1303738792,1472143216,-56
GSM,262,2,305,11122,,13.468501,52.609093,163040,68011,1,1303738792,1472143713,-65
GSM,262,1,14112,36889,,13.454155,52.612136,95108,7731,1,1303738792,1472144332,-63
GSM,262,1,14112,33204,,13.431982,52.58908,132355,7518,1,1303738792,1472144332,-58
GSM,262,1,14112,45949,,13.442531,52.629241,75606,11411,1,1303738792,1472142968,-51
GSM,262,1,14112,20218,,13.435935,52.600005,46969,5253,1,1303738792,1472144208,-54
GSM,262,2,305,11121,,13.447234,52.627944,81672,70875,1,1303738792,1472143466,-51
GSM,262,2,318,11311,,13.429319,52.598336,157055,96263,1,1303738792,1472144332,-54
GSM,262,3,20493,2493,,13.433401,52.602337,69947,5569,1,1303738792,1472144208,-61
GSM,262,7,20222,22386,,13.428632,52.627895,115722,19340,1,1303738792,1472144332,-51
GSM,262,1,14112,20302,,13.447661,52.588317,93254,4798,1,1303738792,1472144208,-51
GSM,262,2,318,1341,,13.424587,52.604169,199387,77505,1,1303738792,1472144332,-65
GSM,262,3,20493,15913,,13.438816,52.628242,81524,10177,1,1303738792,1472143466,-57
GSM,262,3,20493,54973,,13.476241,52.590543,95056,10994,1,1303739792,1472143714,-54
GSM,262,1,14112,59208,,13.46713,52.575688,134901,5222,1,1303739792,1472143713,-60
GSM,262,2,318,11392,,13.45818,52.592545,157373,39665,1,1303742092,1472143713,-52
GSM,262,7,20224,2235,,13.426127,52.595605,69061,7588,1,1303742092,1472144332,-55
GSM,262,1,14116,28721,,13.441982,52.581304,92550,5055,1,1303744029,1472144208,-55
GSM,262,2,318,1031,,13.469914,52.567149,162137,34473,1,1303744029,1472143590,-64
GSM,262,7,20222,22458,,13.43803,52.59686,74279,7486,1,1303744150,1472144332,-53
GSM,262,2,318,11393,,13.434444,52.590937,198841,86320,1,1303745603,1472144208,-51
GSM,262,7,20205,53107,,13.254592,52.507219,142818,6595,1,1303803701,1472142345,-52
GSM,262,1,14119,3736,,13.367977,52.553229,128511,4711,1,1303804185,1472141352,-51
GSM,262,1,14119,55985,,13.351605,52.550414,127365,5265,1,1303816532,1472141724,-51
GSM,262,7,20205,2236,,13.27822,52.503491,125601,16406,1,1303891210,1472142594,-54
GSM,262,2,321,28311,,13.269694,52.497057,41397,19698,1,1303891331,1472142345,-53
GSM,262,7,20205,22208,,13.284503,52.502034,140421,38490,1,1303891331,1472142594,-52
GSM,262,7,20205,53104,,13.308179,52.501978,92862,15093,1,1303891331,1472144206,-56
GSM,262,2,321,10091,,13.282365,52.499432,126937,86613,1,1303891331,1472142594,-53
GSM,262,7,20205,13107,,13.272425,52.506691,138116,6533,1,1303891331,1472142345,-61
GSM,262,7,20205,42553,,13.298402,52.508951,59202,3003,1,1303891331,1472142719,-65
GSM,262,2,321,28312,,13.270852,52.499824,40815,13230,1,1303891452,1472142345,-54
GSM,262,7,20205,42226,,13.29144,52.51366,149150,9513,1,1303891452,1472142594,-59
GSM,262,7,20224,53190,,13.485151,52.556231,134410,11222,1,1304171378,1472143683,-55
GSM,262,7,20224,22140,,13.508183,52.56179,84531,6879,1,1304171378,1472143959,-59
GSM,262,7,20224,33190,,13.513932,52.56134,82263,5685,1,1304171378,1472143835,-54
GSM,262,7,20224,2141,,13.501338,52.565933,85172,8598,1,1304171378,1472143835,-56
GSM,262,7,20224,13190,,13.510086,52.568074,84818,3792,1,1304171378,1472143959,-58
GSM,262,2,317,1132,,13.507853,52.563925,86025,20695,1,1304171378,1472143590,-56
GSM,262,7,20224,53191,,13.511122,52.560959,82083,4942,1,1304171378,1472143422,-68
GSM,262,2,317,11041,,13.499456,52.561278,72064,12733,1,1304171378,1472143590,-53
GSM,262,7,20224,33094,,13.509542,52.566225,73968,1822,1,1304171378,1472143588,-59
GSM,262,1,14116,401,,13.495837,52.567743,88384,5182,1,1304171378,1472143093,-56
GSM,262,3,20493,30733,,13.502658,52.588511,96456,8552,1,1304171378,1472143713,-61
GSM,262,2,317,11892,,13.508775,52.557603,80307,14473,1,1304171378,1472142343,-64
GSM,262,3,20493,2203,,13.504215,52.565102,66802,12790,1,1304171378,1472143590,-61
GSM,262,7,20224,53094,,13.484418,52.570259,71546,2092,1,1304171378,1472143959,-66
GSM,262,1,14116,22094,,13.483116,52.561604,71242,1373,1,1304171378,1472143590,-59
GSM,262,7,20226,2146,,13.548203,52.548676,115822,34108,1,1304173809,1472143112,-52
GSM,262,7,20226,2027,,13.55923,52.534356,69508,7345,1,1304173809,1472142470,-62
GSM,262,2,317,11183,,13.541952,52.558026,111452,13160,1,1304173809,1472142592,-51
GSM,262,7,20226,53091,,13.555449,52.550729,411811,13845,1,1304173809,1472143464,-60
GSM,262,7,20226,22147,,13.55286,52.552963,403494,14233,1,1304173809,1472143464,-57
GSM,262,2,317,1391,,13.559419,52.552633,403540,18880,1,1304173809,1472143091,-52
GSM,262,7,20226,42028,,13.552377,52.544484,115511,22609,1,1304173809,1472143464,-55
GSM,262,7,20226,2028,,13.562207,52.54557,96125,18136,1,1304173809,1472141083,-52
GSM,262,7,20226,22145,,13.522246,52.53118,136192,19709,1,1304173809,1472142470,-51
GSM,262,1,14116,61844,,13.526404,52.535492,470709,5982,1,1304173809,1472142470,-51
GSM,262,3,32,57082,,10.456388,52.320785,184307,51170,1,1304323040,1472143835,-59
GSM,262,2,517,39021,,10.428979,52.331967,182142,58852,1,1304323040,1472141474,-63
GSM,262,2,517,39003,,10.480291,52.319554,185490,68139,1,1304323040,1472142467,-52
GSM,262,2,510,42393,,9.794356,52.331999,99509,4830,1,1304326250,1472144083,-69
GSM,262,2,510,9423,,9.785648,52.34935,98576,25355,1,1304326251,1472143835,-60
GSM,262,2,323,412,,13.305952,52.546433,124327,41572,1,1304343865,1472140854,-51
GSM,262,7,20211,5014,,13.065573,52.300225,130894,1086,1,1304489545,1472141352,-75
GSM,262,7,20211,42414,,13.005564,52.302311,138438,3689,1,1304489545,1472141600,-70
GSM,262,7,20252,2566,,11.893975,52.270964,142300,4251,1,1304489548,1472142345,-65
GSM,262,7,20211,27360,,13.160122,52.373442,113668,6493,1,1304489565,1472143961,-62
GSM,262,2,321,703,,13.286168,52.516481,97943,64870,1,1304516748,1472140976,-51
GSM,262,2,321,15153,,13.280623,52.52465,97793,75929,1,1304516748,1472140855,-51
GSM,262,2,321,15152,,13.291223,52.522571,120088,22891,1,1304516748,1472140976,-63
GSM,262,7,20205,42480,,13.303799,52.519187,119780,4693,1,1304516748,1472142236,-66
GSM,262,2,314,10102,,13.451571,52.463883,164574,114285,1,1304784457,1472141722,-52
GSM,262,3,443,843,,13.445726,52.460555,154899,8102,1,1304784457,1472142343,-51
GSM,262,2,314,10961,,13.452836,52.461698,158371,95954,1,1304784457,1472141722,-52
GSM,262,2,314,10103,,13.444373,52.466035,155057,68775,1,1304784457,1472141595,-52
GSM,262,2,314,10982,,13.450878,52.459042,155747,81947,1,1304784457,1472141849,-55
GSM,262,2,314,10823,,13.446153,52.470106,155348,42559,1,1304784457,1472141855,-64
GSM,262,3,443,833,,13.455318,52.464173,180196,7496,1,1304784457,1472142217,-52
GSM,262,2,314,10943,,13.446142,52.472965,155475,46168,1,1304784457,1472142094,-58
GSM,262,3,443,36923,,13.453046,52.466275,180213,5281,1,1304784457,1472142343,-54
GSM,262,3,33119,26950,,11.733156,48.160368,77709,21049,1,1305010693,1472143903,-61
GSM,262,2,890,59532,,11.734852,48.163792,16609,85161,1,1305010693,1472144083,-61
GSM,262,2,309,54491,,12.744342,52.135816,94586,45711,1,1305217992,1472142966,-78
GSM,262,2,309,54873,,12.737522,52.133276,147567,46085,1,1305217993,1472142775,-63
GSM,262,3,463,36103,,12.74183,52.12653,77200,5201,1,1305217993,1472143531,-81
GSM,262,3,463,45863,,12.738519,52.125207,117508,16491,1,1305217993,1472143531,-76
GSM,262,3,463,45883,,12.700853,52.125403,85452,10516,1,1305217993,1472143531,-75
GSM,262,2,309,54871,,12.795074,52.169452,120025,48087,1,1305218053,1472142966,-60
GSM,262,2,309,2620,,12.8404,52.174357,161146,59063,1,1305218053,1472143341,-64
GSM,262,2,309,54872,,12.8052,52.149752,115574,37776,1,1305218053,1472143341,-71
GSM,262,2,309,3842,,12.658455,52.118879,138891,61719,1,1305218053,1472142468,-58
GSM,262,7,20255,42993,,12.819335,52.12806,112662,1571,1,1305218622,1472143535,-61
GSM,262,7,20255,25751,,12.39412,51.87808,104970,6371,1,1305223113,1472143837,-56
GSM,262,7,20254,22791,,12.307232,51.800185,122663,5362,1,1305223113,1472143535,-56
GSM,262,7,20254,22792,,12.238602,51.748192,124570,4724,1,1305223113,1472141724,-55
GSM,262,7,20309,16235,,12.200004,51.588257,121322,4794,1,1305223114,1472142969,-60
GSM,262,3,9217,57347,,11.182386,49.387341,51799,81933,1,1305223129,1472144207,-57
GSM,262,3,9217,4917,,11.182378,49.388496,62438,85869,1,1305223129,1472143465,-81
GSM,262,3,9217,1970,,11.18196,49.388544,104268,131826,1,1305223129,1472144207,-65
GSM,262,3,9217,41887,,11.188681,49.418226,132443,1690,1,1305223129,1472141724,-76
GSM,262,7,20254,2791,,12.359782,51.836802,98890,8166,1,1305223151,1472143093,-51
GSM,262,7,20309,53582,,12.19847,51.731826,148560,4085,1,1305223151,1472141600,-66
GSM,262,7,20254,36435,,12.211492,51.71654,136120,2530,1,1305223151,1472141600,-62
